Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Severity,Crash_Time,Crash_Year,Day_of_Week,Hour_of_Day,Intersecting_Street_Name,Latitude,Longitude,Speed_Limit,Street_Name,Person_Death_Count,Person_Injury_Severity,Person_Type,KABCO_USD_Value
20709177,True,2025-03-19,N - NOT INJURED,650,2025,WEDNESDAY,6 AM,N COTTON ST,31.76443485,-106.47357033,30,MAGOFFIN AVE,0,N - NOT INJURED,Pedestrian,0
20774019,True,2025-04-23,B - SUSPECTED MINOR INJURY,1622,2025,WEDNESDAY,4 PM,ALBUM AVE,31.77922484,-106.33914036,40,N YARBROUGH DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
20871348,True,2025-06-18,C - POSSIBLE INJURY,1905,2025,WEDNESDAY,7 PM,E 7TH AVE,31.75245485,-106.47960033,30,S OCHOA ST,0,C - POSSIBLE INJURY,Pedestrian,151600
20936007,True,2025-07-29,C - POSSIBLE INJURY,1724,2025,TUESDAY,5 PM,PARQUE DEL SOL DR,31.88020483,-106.54849031,40,REDD RD,0,C - POSSIBLE INJURY,Cyclist,151600
20991446,True,2025-08-31,B - SUSPECTED MINOR INJURY,1657,2025,SUNDAY,4 PM,PLAYA TRONONES AVE,31.89548483,-106.5908103,25,LA PUESTA DR,0,B - SUSPECTED MINOR INJURY,Pedestrian,303200
20995138,True,2025-09-02,B - SUSPECTED MINOR INJURY,1725,2025,TUESDAY,5 PM,ROSEWOOD ST,31.78068484,-106.46551033,30,MONTANA AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21010500,True,2025-09-12,B - SUSPECTED MINOR INJURY,1214,2025,FRIDAY,12 PM,N KANSAS ST,31.76207485,-106.48739033,30,E FRANKLIN AVE,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21053472,True,2025-09-12,B - SUSPECTED MINOR INJURY,1631,2025,FRIDAY,4 PM,HIGH RIDGE DR,31.86680483,-106.5575903,30,N RESLER DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21011335,True,2025-09-14,B - SUSPECTED MINOR INJURY,52,2025,SUNDAY,12 AM,SAUL KLEINFELD DR,31.78264485,-106.28502037,40,SAUL KLEINFELD DR,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
21019693,True,2025-09-14,B - SUSPECTED MINOR INJURY,1450,2025,SUNDAY,2 PM,GEORGE DIETER DR,31.79050484,-106.30232036,35,EDGEMERE BLVD,0,B - SUSPECTED MINOR INJURY,Cyclist,303200
